iter	Passed	Remaining
838	22465	4310
839	22487	4283
840	22509	4255
841	22533	4228
842	22559	4201
843	22583	4174
844	22606	4146
845	22632	4119
846	22657	4092
847	22681	4065
848	22706	4038
849	22734	4011
850	22763	3985
851	22794	3959
852	22822	3933
853	22852	3906
854	22881	3880
855	22905	3853
856	22934	3826
857	22963	3800
858	22987	3773
859	23020	3747
860	23053	3721
861	23078	3694
862	23102	3667
863	23129	3640
864	23153	3613
865	23181	3586
866	23214	3561
867	23242	3534
868	23270	3507
869	23297	3481
870	23322	3454
871	23346	3427
872	23372	3400
873	23398	3373
874	23427	3346
875	23450	3319
876	23476	3292
877	23505	3266
878	23527	3238
879	23552	3211
880	23574	3184
881	23598	3157
882	23623	3130
883	23645	3102
884	23668	3075
885	23690	3048
886	23721	3022
887	23747	2995
888	23770	2967
889	23792	2940
890	23815	2913
891	23839	2886
892	23861	2859
893	23884	2831
894	23906	2804
895	23932	2777
896	23957	2750
897	23979	2723
898	24003	2696
899	24025	2669
900	24052	2642
901	24079	2616
902	24104	2589
903	24127	2562
904	24156	2535
905	24180	2508
906	24203	2481
907	24224	2454
908	24245	2427
909	24266	2399
910	24287	2372
911	24309	2345
912	24332	2318
913	24361	2292
914	24389	2265
915	24414	2238
916	24435	2211
917	24458	2184
918	24480	2157
919	24504	2130
920	24526	2103
921	24546	2076
922	24571	2049
923	24596	2023
924	24624	1996
925	24650	1969
926	24675	1943
927	24696	1916
928	24718	1889
929	24740	1862
930	24760	1835
931	24788	1808
932	24814	1781
933	24839	1755
934	24860	1728
935	24884	1701
936	24904	1674
937	24924	1647
938	24945	1620
939	24968	1593
940	24992	1566
941	25018	1540
942	25043	1513
943	25066	1487
944	25092	1460
945	25114	1433
946	25138	1406
947	25164	1380
948	25192	1353
949	25220	1327
950	25248	1300
951	25270	1274
952	25295	1247
953	25321	1220
954	25345	1194
955	25366	1167
956	25390	1140
957	25418	1114
958	25444	1087
959	25466	1061
960	25488	1034
961	25510	1007
962	25532	981
963	25555	954
964	25578	927
965	25598	900
966	25624	874
967	25647	847
968	25674	821
969	25701	794
970	25727	768
971	25751	741
972	25776	715
973	25800	688
974	25819	662
975	25842	635
976	25864	608
977	25889	582
978	25914	555
979	25939	529
980	25963	502
981	25985	476
982	26009	449
983	26033	423
984	26056	396
985	26078	370
986	26105	343
987	26127	317
988	26150	290
989	26173	264
990	26194	237
991	26217	211
992	26239	184
993	26260	158
994	26285	132
995	26312	105
996	26336	79
997	26359	52
998	26383	26
999	26404	0
